date,spx,mar,hlt,hst,mgm,lvs,spxChange,marChange,hltChange,hstChange,mgmChange,lvsChange
"March 4, 2022","4,328.87",159.28,137.67,17.26,41.54,40.8,-0.094026127321510100000000000,-0.035076028351608400000000000,-0.117217056748958000000000000,-0.013150371640937500000000000,-0.077708703374778000000000000,0.073119410836401700000000000
"March 7, 2022","4,201.09",148.06,129.09,16.57,37.48,36.1,-0.120768751020272000000000000,-0.103047192100321000000000000,-0.172234690605963000000000000,-0.052601486563750600000000000,-0.167850799289520000000000000,-0.050499736980536600000000000
"March 8, 2022","4,170.70",152.79,133.92,17.44,37.63,37,-0.127128966501610000000000000,-0.074392681892530500000000000,-0.141263225392754000000000000,-0.002858776443681940000000000,-0.164520426287744000000000000,-0.026827985270910100000000000
"March 9, 2022","4,277.88",159.47,138.52,18.07,40.28,38.77,-0.104697643853047000000000000,-0.033925001514509000000000000,-0.111766591856364000000000000,0.033161806746712500000000000,-0.105683836589698000000000000,0.019726459758022100000000000
"March 10, 2022","4,259.52",162.56,142.94,18.25,40.89,38.6,-0.108540143235652000000000000,-0.015205670321681700000000000,-0.083424174414876500000000000,0.043453401943968100000000000,-0.092140319715808100000000000,0.015255128879537000000000000
"March 11, 2022","4,204.31",161.64,141.77,18.02,40.11,36.42,-0.120094848623104000000000000,-0.020779063427636800000000000,-0.090926579031740800000000000,0.030303030303030400000000000,-0.109458259325044000000000000,-0.042083114150447200000000000
"March 14, 2022","4,173.11",161.76,141.56,17.9,38.8,32.09,-0.126624586136028000000000000,-0.020052099109468700000000000,-0.092273164475793400000000000,0.023441966838193300000000000,-0.138543516873890000000000000,-0.155970541820095000000000000
"March 15, 2022","4,262.45",166.4,144.24,18.15,40.09,32.66,-0.107926933911522000000000000,0.008057187859695960000000000,-0.075088169285027100000000000,0.037735849056603800000000000,-0.109902309058614000000000000,-0.140978432403998000000000000
"March 16, 2022","4,357.86",172.29,150.79,18.86,42.17,36.54,-0.087958912882418800000000000,0.043739019809777700000000000,-0.033087528053863400000000000,0.078330474556889700000000000,-0.063721136767317900000000000,-0.038926880589163700000000000
"March 17, 2022","4,411.67",171.24,151.14,18.84,41.94,37.37,-0.076697208537213300000000000,0.037378082025807300000000000,-0.030843218980442500000000000,0.077186963979416900000000000,-0.068827708703374800000000000,-0.017096265123619300000000000
"March 18, 2022","4,463.12",171.19,151.79,19.03,42.17,38.96,-0.065929420234652100000000000,0.037075180226570600000000000,-0.026675216415517800000000000,0.088050314465409000000000000,-0.063721136767317900000000000,0.024723829563387600000000000
"March 21, 2022","4,461.18",169.95,150.35,18.45,41.83,38.69,-0.066335435964622200000000000,0.029563215605500700000000000,-0.035908945174735500000000000,0.054888507718696500000000000,-0.071269982238010700000000000,0.017622304050499600000000000
"March 22, 2022","4,511.61",170.57,151.42,18.6,41.97,39.02,-0.055781119849983600000000000,0.033319197916035600000000000,-0.029047771721705700000000000,0.063464837049742900000000000,-0.068161634103019500000000000,0.026301946344029500000000000
"March 23, 2022","4,456.24",167.65,148.41,18.36,41.41,38.17,-0.067369311070835200000000000,0.015629732840613100000000000,-0.048348829753126000000000000,0.049742710120068700000000000,-0.080595026642984100000000000,0.003945291951604380000000000
"March 24, 2022","4,520.16",171.98,151.89,18.7,42.16,39.73,-0.053991720627692000000000000,0.041861028654510200000000000,-0.026033985251683200000000000,0.069182389937107000000000000,-0.063943161634103100000000000,0.044976328248290200000000000
"March 25, 2022","4,543.06",171.52,151.5,19.09,42.2,39.2,-0.049199060722373100000000000,0.039074332101532800000000000,-0.028534786790638000000000000,0.091480846197827400000000000,-0.063055062166962600000000000,0.031036296685954700000000000
"March 28, 2022","4,575.52",171.56,150.68,19.1,42.19,38.89,-0.042405622271427800000000000,0.039316653540922100000000000,-0.033792882334081300000000000,0.092052601486563900000000000,-0.063277087033747800000000000,0.022882693319305600000000000
"March 29, 2022","4,631.60",178.32,155.31,19.82,43.61,40,-0.030668837664865400000000000,0.080268976797722200000000000,-0.004103879448541110000000000,0.133218982275586000000000000,-0.031749555950266400000000000,0.052077853761178200000000000
"March 30, 2022","4,602.45",176.45,153.15,19.93,43.16,39.65,-0.036769537937356500000000000,0.068940449506270000000000000,-0.017954472587367600000000000,0.139508290451687000000000000,-0.041740674955595100000000000,0.042872172540767900000000000
"March 31, 2022","4,530.41",175.75,151.74,19.43,41.94,38.87,-0.051846534425529700000000000,0.064699824316956500000000000,-0.026995831997434900000000000,0.110920526014866000000000000,-0.068827708703374800000000000,0.022356654392424900000000000
"April 1, 2022","4,545.86",173.68,150.71,19.55,41.87,39.52,-0.048613058637880100000000000,0.052159689828557700000000000,-0.033600512984930900000000000,0.117781589479703000000000000,-0.070381882770870400000000000,0.039452919516044200000000000
"April 4, 2022","4,582.64",174.65,152.34,19.45,42.5,39.93,-0.040915502685145300000000000,0.058035984733749400000000000,-0.023148445014427600000000000,0.112064036592339000000000000,-0.056394316163410300000000000,0.050236717517096200000000000
"April 5, 2022","4,525.12",174,151.55,19.01,41.66,37.83,-0.052953659792304200000000000,0.054098261343672400000000000,-0.028214171208720600000000000,0.086906803887936100000000000,-0.075044404973357100000000000,-0.004997369805365720000000000
"April 6, 2022","4,481.15",166.17,145.61,18.32,39.74,37,-0.062155985383433900000000000,0.006663839583207090000000000,-0.066303302340493600000000000,0.047455688965123000000000000,-0.117673179396092000000000000,-0.026827985270910100000000000
"April 7, 2022","4,500.21",164.66,145.55,17.95,39.18,36.11,-0.058166985479705600000000000,-0.002483794753740820000000000,-0.066688041038794300000000000,0.026300743281875400000000000,-0.130106571936057000000000000,-0.050236717517096400000000000
"April 8, 2022","4,488.28",163.86,145.48,17.82,39.2,35.95,-0.060663772932563800000000000,-0.007330223541527710000000000,-0.067136902853478700000000000,0.018867924528302000000000000,-0.129662522202487000000000000,-0.054445028932141000000000000
"April 11, 2022","4,412.53",162.45,143.7,17.85,39.51,35.04,-0.076517222182690500000000000,-0.015872054280002500000000000,-0.078550817569733900000000000,0.020583190394511300000000000,-0.122779751332149000000000000,-0.078379800105207900000000000
"April 12, 2022","4,397.45",163.24,144.88,18.22,39.55,35.03,-0.079673261980603400000000000,-0.011086205852062700000000000,-0.070984289836486000000000000,0.041738136077758700000000000,-0.121891651865009000000000000,-0.078642819568648100000000000
"April 13, 2022","4,446.59",175.54,153.93,19.7,41.28,36.25,-0.069388925397748900000000000,0.063427636760162300000000000,-0.012952869509458000000000000,0.126357918810749000000000000,-0.083481349911190000000000000,-0.046554445028932200000000000
"April 14, 2022","4,392.59",180.51,155.58,19.58,41.6,36.96,-0.080690394170116400000000000,0.093536075604289100000000000,-0.002372555306187730000000000,0.119496855345912000000000000,-0.076376554174067400000000000,-0.027880063124671300000000000
"April 18, 2022","4,391.69",183.15,156.57,19.44,41.16,36.65,-0.080878751982989300000000000,0.109529290603986000000000000,0.003975633215774320000000000,0.111492281303602000000000000,-0.086145648312611100000000000,-0.036033666491320500000000000
"April 19, 2022","4,462.21",188.78,163.14,20.43,42.77,38.24,-0.066119870912112300000000000,0.143636033198037000000000000,0.046104520679705000000000000,0.168096054888508000000000000,-0.050399644760213100000000000,0.005786428195686450000000000
"April 20, 2022","4,459.45",190.3,162.91,20.43,43.35,38.51,-0.066697501538255600000000000,0.152844247894833000000000000,0.044629689002885600000000000,0.168096054888508000000000000,-0.037522202486678500000000000,0.012887953708574300000000000
"April 21, 2022","4,393.66",184.17,156.96,20.64,42.17,37.21,-0.080466457659256600000000000,0.115708487308415000000000000,0.006476434754729200000000000,0.180102915951973000000000000,-0.063721136767317900000000000,-0.021304576538663900000000000
"April 22, 2022","4,271.78",179.49,153.35,20.56,41.08,36.4,-0.105974291251408000000000000,0.087356878899860800000000000,-0.016672010259698600000000000,0.175528873642081000000000000,-0.087921847246891700000000000,-0.042609153077327800000000000
"April 25, 2022","4,296.12",182.48,155.94,20.93,42.03,36.29,-0.100880258845492000000000000,0.105470406494215000000000000,-0.000064123116383397900000000,0.196683819325329000000000000,-0.066829484902309000000000000,-0.045502367175171100000000000
"April 26, 2022","4,175.20",177.25,151.72,20.42,40.35,34.75,-0.126187177437246000000000000,0.073786878294057100000000000,-0.027124078230201900000000000,0.167524299599771000000000000,-0.104129662522202000000000000,-0.086007364544976400000000000
"April 27, 2022","4,183.96",180.2,157.06,21.06,40.34,34.84,-0.124353828058617000000000000,0.091658084449021600000000000,0.007117665918563730000000000,0.204116638078902000000000000,-0.104351687388987000000000000,-0.083640189374013700000000000
"April 28, 2022","4,287.50",184.56,161.22,21.24,42.11,35.68,-0.102684308119896000000000000,0.118071121342461000000000000,0.033792882334081500000000000,0.214408233276158000000000000,-0.065053285968028400000000000,-0.061546554445029000000000000
"April 29, 2022","4,131.93",177.52,155.29,20.35,41.04,35.43,-0.135243002507252000000000000,0.075422548009935300000000000,-0.004232125681308090000000000,0.163522012578617000000000000,-0.088809946714032000000000000,-0.068122041031036400000000000
"May 2, 2022","4,155.38",178.14,155.41,20.13,41.97,36.69,-0.130335235049622000000000000,0.079178530320470100000000000,-0.003462648284706590000000000,0.150943396226415000000000000,-0.068161634103019500000000000,-0.034981588637559300000000000
