Date,Open,High,Low,Close,Volume
04/26/2022,"41.79","42.06","40.16","40.35","3,692,653"
04/25/2022,"40.67","42.20","40.23","42.03","4,084,416"
04/22/2022,"41.99","42.35","40.85","41.08","3,701,924"
04/21/2022,"44.27","44.60","41.99","42.17","3,281,903"
04/20/2022,"42.92","44.02","42.89","43.35","4,085,950"
04/19/2022,"41.28","42.97","41.28","42.77","2,772,108"
04/18/2022,"41.31","41.70","41.00","41.16","2,459,639"
04/14/2022,"41.57","42.20","41.52","41.60","3,239,545"
04/13/2022,"39.73","41.64","39.73","41.28","4,847,106"
04/12/2022,"39.92","40.55","39.39","39.55","3,435,012"
04/11/2022,"38.66","40.18","38.66","39.51","3,622,585"
04/08/2022,"39.02","39.70","38.55","39.20","3,794,870"
04/07/2022,"39.67","39.83","37.98","39.18","5,453,487"
04/06/2022,"41.00","41.05","39.30","39.74","5,002,721"
04/05/2022,"42.63","42.81","41.17","41.66","3,570,385"
04/04/2022,"41.81","42.73","41.52","42.50","4,085,770"
04/01/2022,"42.30","42.43","41.40","41.87","5,018,839"
03/31/2022,"42.90","43.42","41.94","41.94","4,542,211"
03/30/2022,"43.21","43.66","42.70","43.16","4,592,775"
03/29/2022,"42.86","44.18","42.86","43.61","3,407,996"
03/28/2022,"42.28","42.75","41.83","42.19","2,749,746"
03/25/2022,"42.15","42.47","41.86","42.20","2,625,558"
03/24/2022,"41.57","42.27","41.08","42.16","3,654,317"
03/23/2022,"41.46","41.85","41.29","41.41","3,901,702"
03/22/2022,"41.98","42.72","41.85","41.97","3,035,818"
03/21/2022,"41.99","42.08","41.04","41.83","3,480,039"
03/18/2022,"41.74","42.28","41.10","42.17","10,398,950"
03/17/2022,"41.74","42.47","41.28","41.94","4,728,675"
03/16/2022,"40.87","42.38","40.87","42.17","5,891,115"
03/15/2022,"38.99","40.39","38.56","40.09","5,525,299"
03/14/2022,"40.10","40.59","38.31","38.80","4,506,926"
03/11/2022,"41.20","41.50","40.06","40.11","3,744,069"
03/10/2022,"39.18","41.07","38.95","40.89","5,525,428"
03/09/2022,"39.19","40.91","39.05","40.28","6,192,910"
03/08/2022,"37.79","38.96","36.46","37.63","8,132,132"
03/07/2022,"41.52","41.52","37.44","37.48","9,245,104"
03/04/2022,"42.62","42.89","40.41","41.54","6,807,695"
03/03/2022,"44.98","45.12","43.05","43.35","4,957,440"
03/02/2022,"42.95","44.24","42.51","43.73","5,813,651"
03/01/2022,"44.10","44.11","41.68","41.92","5,925,730"
02/28/2022,"44.26","44.80","43.45","44.29","6,383,462"
02/25/2022,"43.78","45.15","43.42","45.12","5,417,858"
02/24/2022,"40.57","43.63","40.45","43.51","5,536,579"
02/23/2022,"43.91","44.16","42.37","42.48","5,208,124"
02/22/2022,"43.27","43.94","42.57","43.23","5,606,149"
02/18/2022,"43.50","44.29","42.98","43.56","5,214,072"
02/17/2022,"45.05","45.17","43.59","43.68","4,426,035"
02/16/2022,"44.76","45.69","44.28","45.17","5,413,248"
02/15/2022,"45.43","45.90","44.63","45.08","6,287,655"
02/14/2022,"45.58","46.23","44.34","44.65","5,067,398"
02/11/2022,"47.20","47.95","45.18","45.46","7,871,472"
02/10/2022,"48.00","49.00","46.62","47.07","10,074,320"
02/09/2022,"47.45","48.70","47.30","48.52","6,628,890"
02/08/2022,"46.12","47.38","45.70","47.20","9,317,754"
02/07/2022,"44.68","46.03","44.68","45.61","6,149,230"
02/04/2022,"42.82","44.83","42.62","44.54","4,809,626"
02/03/2022,"43.26","44.05","42.95","42.98","3,562,032"
02/02/2022,"44.18","44.39","43.31","43.64","3,556,762"
02/01/2022,"43.20","44.32","42.75","44.16","4,841,156"
01/31/2022,"41.48","42.79","41.22","42.72","5,671,222"
01/28/2022,"40.81","41.65","39.86","41.63","5,108,369"
01/27/2022,"41.95","42.71","40.34","40.62","5,284,417"
01/26/2022,"42.60","43.45","41.43","41.68","5,722,845"
01/25/2022,"41.29","42.51","40.74","41.98","4,214,458"
01/24/2022,"39.81","41.99","39.05","41.89","7,052,805"
01/21/2022,"41.51","42.25","40.43","40.96","6,150,963"
01/20/2022,"42.43","43.42","41.44","41.55","5,826,474"
01/19/2022,"44.14","44.32","42.11","42.21","5,893,213"
01/18/2022,"43.91","44.73","43.41","43.83","4,291,356"
01/14/2022,"46.05","46.44","43.61","44.47","5,292,777"
01/13/2022,"44.82","45.70","44.04","44.25","4,264,030"
01/12/2022,"45.27","45.45","44.23","44.80","4,371,125"
01/11/2022,"43.57","45.28","43.41","44.95","4,851,527"
01/10/2022,"44.63","44.77","42.28","43.62","4,576,429"
01/07/2022,"44.58","45.38","44.34","44.53","5,477,007"
01/06/2022,"43.49","44.76","43.42","44.32","5,031,900"
01/05/2022,"45.35","45.50","43.02","43.04","5,511,417"
01/04/2022,"46.20","46.60","45.07","45.39","4,036,088"
01/03/2022,"45.04","46.37","44.80","45.48","5,187,816"
